Country,Year,Emission,Population,Population_Emission,Region
mexico,2018,3.792204,128932753.0,488939301.65761197,North America
trinidad and tobago,2018,26.801151,1399488.0,37507889.210688,North America
dominican republic,2018,2.3924725,10847910.0,25953326.357474998,North America
others,2019,213.24696558,588217280.0,6452901368.43662,North America
united states,2019,15.739861,331002651.0,5209935717.3715105,North America
canada,2019,15.41972,37742154.0,581973446.87688,North America
mexico,2019,3.744022,128932753.0,482727063.75256604,North America
trinidad and tobago,2019,26.83153,1399488.0,37550404.25664,North America
dominican republic,2019,2.607516,10847910.0,28286098.89156,North America
others,2020,192.52774101,588217280.0,5771574817.299093,North America
united states,2020,14.034053,331002651.0,4645308747.274503,North America
canada,2020,13.799503,37742154.0,520822967.349462,North America
mexico,2020,3.5102782,128932753.0,452589832.12188464,North America
trinidad and tobago,2020,23.074036,1399488.0,32291836.493568,North America
dominican republic,2020,2.136578,10847910.0,23177405.85198,North America
others,2021,191.6277289,588217280.0,6110605178.126405,North America
united states,2021,14.9324875,331002651.0,4942692948.524363,North America
canada,2021,14.078721,37742154.0,531361256.105034,North America
mexico,2021,3.6998608,128932753.0,477033238.6607824,North America
trinidad and tobago,2021,23.289734,1399488.0,32593703.256192,North America
dominican republic,2021,2.1393347,10847910.0,23207310.285477,North America
others,2022,192.39703753999999,588217280.0,6161740173.2462635,North America
united states,2022,14.949616,331002651.0,4948362527.432016,North America
canada,2022,14.249212,37742154.0,537795953.682648,North America
mexico,2022,4.0153365,128932753.0,517708389.1663845,North America
trinidad and tobago,2022,22.423758,1399488.0,31381780.235904,North America
dominican republic,2022,2.1051137,10847910.0,22836083.957367,North America
others,2017,277.6734364,602248121.0,3995645630.4324827,Europe
germany,2017,9.512761,83783942.0,797016615.8838619,Europe
united kingdom,2017,5.8634415,67886011.0,398045654.1668565,Europe
italy,2017,5.889915,60244639.0,354835802.915685,Europe
france,2017,5.2521734,65273511.0,342827798.1988074,Europe
poland,2017,8.739704,38386000.0,335482277.744,Europe
others,2018,274.9199359,602248121.0,3915875952.879483,Europe
germany,2018,9.105443,83783942.0,762889908.196306,Europe
united kingdom,2018,5.7159815,67886011.0,388035182.98479646,Europe
italy,2018,5.8423834,60244639.0,351972278.8325926,Europe
poland,2018,8.72451,38386000.0,334899040.86,Europe
france,2018,5.010727,65273511.0,327067743.952497,Europe
others,2019,263.7783869,602248121.0,3740891007.5980186,Europe
germany,2019,8.508805,83783942.0,712901224.60931,Europe
united kingdom,2019,5.4621234,67886011.0,370801769.2157574,Europe
italy,2019,5.699218,60244639.0,343347330.992302,Europe
france,2019,4.898306,65273511.0,319729630.572366,Europe
poland,2019,8.252866,38386000.0,316794514.27599996,Europe
others,2020,241.210837,602248121.0,3403874110.5185537,Europe
germany,2020,7.767432,83783942.0,650786072.176944,Europe
united kingdom,2020,4.8652816,67886011.0,330284560.21569765,Europe
italy,2020,5.097115,60244639.0,307073853.116485,Europe
poland,2020,7.870152,38386000.0,302103654.672,Europe
france,2020,4.366297,65273511.0,285003535.258767,Europe
others,2021,250.0108367,602248121.0,3608996014.334268,Europe
germany,2021,8.138241,83783942.0,681853911.926022,Europe
united kingdom,2021,5.164383,67886011.0,350589361.146213,Europe
italy,2021,5.692572,60244639.0,342946945.121508,Europe
poland,2021,8.64257,38386000.0,331753692.02,Europe
france,2021,4.7538953,65273511.0,310303437.1573983,Europe
others,2022,242.9261113,602248121.0,3460612861.6242833,Europe
germany,2022,7.9837584,83783942.0,668910750.7276129,Europe
italy,2022,5.726825,60244639.0,345010504.741175,Europe
united kingdom,2022,4.7201805,67886011.0,320434225.3449855,Europe
poland,2022,8.106886,38386000.0,311190925.996,Europe
france,2022,4.603891,65273511.0,300512129.831301,Europe
others,2017,33.8859778,430457604.0,1153036142.2694743,South America
brazil,2017,2.3842185,212559417.0,506788094.3606145,South America
argentina,2017,4.242436,45195774.0,191740178.66546398,South America
venezuela,2017,4.522624,28435940.0,128605064.70656002,South America
colombia,2017,1.9084141,50882891.0,97105626.6331631,South America
chile,2017,4.5805526,19116201.0,87562764.1926726,South America
others,2018,31.8588424,430457604.0,1079709998.4677973,South America
brazil,2018,2.2743797,212559417.0,483440823.06863487,South America
argentina,2018,4.066307,45195774.0,183779892.186618,South America
venezuela,2018,3.377444,28435940.0,96040794.93736,South America
colombia,2018,1.7678044,50882891.0,89950998.59452039,South America
chile,2018,4.515097,19116201.0,86311501.786497,South America
others,2019,32.9502879,430457604.0,1072195572.8715943,South America
brazil,2019,2.2356122,212559417.0,475200425.8700874,South America
argentina,2019,3.9894862,45195774.0,180307916.6713188,South America
colombia,2019,1.8829013,50882891.0,95807461.6116583,South America
chile,2019,4.8308606,19116201.0,92347702.2325806,South America
venezuela,2019,3.024043,28435940.0,85991505.30542,South America
others,2020,30.505608600000002,430457604.0,959440536.196256,South America
brazil,2020,2.0849533,212559417.0,443176457.9202261,South America
argentina,2020,3.7054682,45195774.0,167471503.3313868,South America
colombia,2020,1.7618332,50882891.0,89647166.6757812,South America
chile,2020,4.15424,19116201.0,79413286.84223999,South America
venezuela,2020,2.174631,28435940.0,61837676.63814001,South America
others,2021,35.366347,430457604.0,1077312600.0669143,South America
brazil,2021,2.3198576,212559417.0,493107578.9790192,South America
argentina,2021,4.1907597,45195774.0,189404628.2895078,South America
colombia,2021,1.8589207,50882891.0,94587259.3557437,South America
chile,2021,4.5675793,19116201.0,87314763.9822393,South America
venezuela,2021,2.5394876,28435940.0,72212717.02434401,South America
others,2022,35.098518399999996,430457604.0,1070817504.2624028,South America
brazil,2022,2.2454574,212559417.0,477293115.84233576,South America
argentina,2022,4.2378173,45195774.0,191531432.9440902,South America
colombia,2022,1.9223082,50882891.0,97812598.6090062,South America
chile,2022,4.3041654,19116201.0,82279290.92364539,South America
venezuela,2022,2.7168686,28435940.0,77256712.497484,South America
others,2017,58.81022453,1274694224.0,971378427.3853136,Africa
egypt,2017,2.5553803,102334404.0,261503319.9938412,Africa
algeria,2017,4.01321,43851044.0,175983448.29124,Africa
nigeria,2017,0.58274716,206139589.0,120127260.05331725,Africa
morocco,2017,1.7199651,36910560.0,63484875.021456,Africa
libya,2017,8.377985,6871292.0,57567581.30662,Africa
others,2018,57.399037468,1274694224.0,943524179.6791341,Africa
egypt,2018,2.3511286,102334404.0,240601344.0083544,Africa
algeria,2018,4.0850997,43851044.0,179135886.6890868,Africa
nigeria,2018,0.5322892,206139589.0,109725876.9171388,Africa
morocco,2018,1.7343042,36910560.0,64014139.232351996,Africa
libya,2018,8.339181,6871292.0,57300947.691852,Africa
others,2019,59.65445359,1274694224.0,996509123.542295,Africa
egypt,2019,2.4251409,102334404.0,248175348.6175236,Africa
algeria,2019,4.18161,43851044.0,183367964.10084,Africa
nigeria,2019,0.6263395,206139589.0,129113367.10446551,Africa
libya,2019,10.736264,6871292.0,73772004.933088,Africa
morocco,2019,1.8935199,36910560.0,69890879.880144,Africa
others,2020,54.615309349,1274694224.0,907497017.5804083,Africa
egypt,2020,2.1182494,102334404.0,216769789.87235758,Africa
algeria,2020,3.9099252,43851044.0,171454301.9819088,Africa
nigeria,2020,0.59436333,206139589.0,122521812.56287137,Africa
morocco,2020,1.759688,36910560.0,64951069.505279996,Africa
libya,2020,7.073712,6871292.0,48605540.675904006,Africa
others,2021,59.534755323,1274694224.0,976223923.8173516,Africa
egypt,2021,2.2595594,102334404.0,231230664.5015976,Africa
algeria,2021,4.079527,43851044.0,178891517.97618797,Africa
nigeria,2021,0.6143976,206139589.0,126651668.7465864,Africa
morocco,2021,1.9592135,36910560.0,72315667.44455999,Africa
libya,2021,9.491187,6871292.0,65216717.303604,Africa
others,2022,59.249759827,1274694224.0,960887125.4461201,Africa
egypt,2022,2.333106,102334404.0,238757011.978824,Africa
algeria,2022,3.9272263,43851044.0,172212973.2792572,Africa
nigeria,2022,0.5891771,206139589.0,121452725.24221191,Africa
morocco,2022,1.8263615,36910560.0,67412025.72744,Africa
libya,2022,9.242238,6871292.0,63506116.031496,Africa
australia,2017,16.82187,25499884.0,428955733.66308004,Australia
australia,2018,16.627844,25499884.0,424008093.170096,Australia
australia,2019,16.398174,25499884.0,418151534.81181604,Australia
australia,2020,15.453229,25499884.0,394055546.925436,Australia
australia,2021,14.914762,25499884.0,380324700.887608,Australia
australia,2022,14.985412,25499884.0,382126267.692208,Australia
others,2017,80.29524058,16895047.0,52167487.05936834,Oceania
new zealand,2017,7.519022,4822233.0,36258476.016126,Oceania
papua new guinea,2017,0.73069656,8947024.0,6537559.65903744,Oceania
new caledonia,2017,19.63639,285498.0,5606150.0722199995,Oceania
fiji,2017,1.4818524,896445.0,1328399.174718,Oceania
french polynesia,2017,2.914275,280904.0,818631.5046,Oceania
others,2018,83.07588039,16895047.0,52649002.618182965,Oceania
new zealand,2018,7.379144,4822233.0,35583951.708552,Oceania
papua new guinea,2018,0.8153785,8947024.0,7295211.008584,Oceania
new caledonia,2018,20.755627,285498.0,5925689.997246,Oceania
fiji,2018,1.5343895,896445.0,1375495.7953275,Oceania
french polynesia,2018,2.9423785,280904.0,826525.890164,Oceania
others,2019,81.08497358,16895047.0,52750271.63684738,Oceania
new zealand,2019,7.4367194,4822233.0,35861593.702420205,Oceania
papua new guinea,2019,0.8191921,8947024.0,7329331.3793104,Oceania
new caledonia,2019,19.87871,285498.0,5675331.94758,Oceania
fiji,2019,1.5330331,896445.0,1374279.8573295,Oceania
french polynesia,2019,2.921616,280904.0,820693.620864,Oceania
others,2020,75.45901913,16895047.0,48278193.2294908,Oceania
new zealand,2020,6.764759,4822233.0,32621244.086847,Oceania
papua new guinea,2020,0.7922191,8947024.0,7088003.3009584,Oceania
new caledonia,2020,17.838543,285498.0,5092868.349414,Oceania
fiji,2020,1.1309409,896445.0,1013826.3151004999,Oceania
french polynesia,2020,2.8031993,280904.0,787429.8961672001,Oceania
others,2021,74.59963915,16895047.0,47508453.13047523,Oceania
new zealand,2021,6.6900215,4822233.0,32260842.448009502,Oceania
papua new guinea,2021,0.7986589,8947024.0,7145620.3461136,Oceania
new caledonia,2021,15.763163,285498.0,4500351.510174,Oceania
fiji,2021,1.1742574,896445.0,1052657.1749429998,Oceania
french polynesia,2021,2.9048145,280904.0,815974.012308,Oceania
others,2022,75.34393426,16895047.0,45426273.54367906,Oceania
new zealand,2022,6.212154,4822233.0,29956454.019882,Oceania
papua new guinea,2022,0.77131313,8947024.0,6900957.08562512,Oceania
new caledonia,2022,17.641167,285498.0,5036517.896166,Oceania
fiji,2022,1.1550449,896445.0,1035434.2253805001,Oceania
french polynesia,2022,2.8509297,280904.0,800837.5564488,Oceania
