Entity,Year,emissions_including_land-use_change,emissions_from_land-use_change,Annual_emissions,continent
afghanistan,2012,10152306.0,116991.516,10035314.0,Asia
afghanistan,2015,9858511.0,67417.6,9791093.0,Asia
afghanistan,2016,9202323.0,134725.28,9067598.0,Asia
afghanistan,2019,11271856.0,190234.88,11081621.0,Asia
afghanistan,2020,11984979.0,96912.805,11888066.0,Asia
afghanistan,2022,12193308.0,45360.32,12147948.0,Asia
albania,1933,2069207.5,2061879.5,7328.0,Europe
albania,1934,2099398.8,2092070.8,7328.0,Europe
albania,1935,2130213.0,2111893.0,18320.0,Europe
albania,1936,2240066.2,2111856.2,128209.99,Europe
albania,1937,2400777.0,2104052.0,296725.0,Europe
albania,1938,2483202.8,2135122.8,348080.0,Europe
albania,1939,2573630.2,2141278.2,432352.0,Europe
albania,1940,3372162.5,2679666.5,692496.0,Europe
albania,1941,3565635.8,2939150.8,626485.0,Europe
albania,1942,3840714.8,3096922.8,743792.0,Europe
albania,1943,3750140.5,3288476.5,461664.0,Europe
albania,1944,3479261.2,3325373.2,153888.0,Europe
albania,1945,3592478.8,3471566.8,120912.0,Europe
albania,1946,4071436.8,3587788.8,483648.0,Europe
albania,1947,4554645.0,3627653.0,926992.0,Europe
albania,1948,4415816.0,3712328.2,703488.0,Europe
albania,1949,4793941.0,3779012.8,1014928.0,Europe
albania,1950,4483395.0,4186669.8,296725.0,Europe
albania,1951,4961803.0,4558822.0,402981.0,Europe
albania,1952,5493632.5,5119963.5,373669.0,Europe
albania,1953,5765978.0,5352005.0,413973.0,Europe
albania,1954,6238560.5,5736651.5,501909.03,Europe
albania,1955,6714615.0,6051609.0,663006.0,Europe
albania,1956,7198650.0,6359861.0,838789.0,Europe
albania,1957,8243263.0,6737656.0,1505607.0,Europe
albania,1958,8200914.5,6999449.5,1201465.0,Europe
albania,1959,8727204.0,7283885.5,1443319.0,Europe
albania,1960,8447129.0,6424897.5,2022231.1,Europe
albania,1961,7764384.0,5485851.0,2278533.0,Europe
albania,1962,7553081.0,5091348.0,2461733.0,Europe
albania,1963,6639622.0,4559005.0,2080617.0,Europe
albania,1964,7434520.5,5419825.5,2014694.9,Europe
albania,1965,7717659.5,5545500.5,2172159.0,Europe
albania,1966,8050232.5,5500653.5,2549579.0,Europe
albania,1967,7676141.5,4998648.5,2677493.0,Europe
albania,1968,8000188.5,4930974.5,3069214.0,Europe
albania,1969,8144284.5,4902981.5,3241303.0,Europe
albania,1970,8143723.5,4404237.5,3739486.0,Europe
albania,1971,8559462.0,4211438.5,4348023.0,Europe
albania,1972,9482209.0,3844232.2,5637977.0,Europe
albania,1973,9024565.0,3738159.2,5286406.0,Europe
albania,1974,7501345.5,3159833.5,4341512.0,Europe
albania,1975,8398837.0,3807665.2,4591172.0,Europe
albania,1976,9641148.0,4693950.5,4947198.0,Europe
albania,1977,9555493.0,3838150.0,5717343.0,Europe
albania,1978,9663829.0,3172584.2,6491245.0,Europe
albania,1979,10645170.0,3061198.8,7583971.0,Europe
albania,1980,7976362.0,2805524.8,5170837.0,Europe
albania,1981,9935310.0,2595687.5,7339622.0,Europe
albania,1982,9648134.0,2340526.5,7307607.0,Europe
albania,1983,10049782.0,2418972.8,7630809.0,Europe
albania,1984,9943695.0,2117792.0,7825903.0,Europe
albania,1985,9901540.0,2019999.9,7881540.0,Europe
albania,1986,9932506.0,1874429.1,8058077.0,Europe
albania,1987,9515189.0,2068108.2,7447081.0,Europe
albania,1988,8955049.0,1625826.8,7329222.0,Europe
albania,1989,10843780.0,1857611.4,8986169.0,Europe
albania,1990,7287456.0,1766854.0,5520602.0,Europe
albania,1991,5604576.0,1314350.1,4290226.0,Europe
albania,1992,3777239.0,1260122.9,2517116.0,Europe
albania,1993,3184053.2,846054.25,2337999.0,Europe
albania,1994,2615349.5,691543.4,1923806.0,Europe
albania,1995,2581103.8,492038.53,2089065.1,Europe
albania,1996,2317516.2,300008.34,2017508.0,Europe
albania,1997,1787617.6,244608.66,1543009.0,Europe
albania,1998,2001992.4,247283.34,1754709.0,Europe
albania,2003,4449729.0,146230.23,4303499.0,Europe
albania,2005,6593769.0,2332356.0,4261413.0,Europe
albania,2006,4275796.0,365080.94,3910715.0,Europe
albania,2007,6358490.0,2409519.8,3948970.0,Europe
albania,2008,6251430.0,1854387.1,4397043.0,Europe
albania,2009,5364321.5,957769.6,4406552.0,Europe
albania,2010,5388974.5,605109.6,4783865.0,Europe
albania,2011,6024502.5,709826.7,5314676.0,Europe
albania,2012,5470118.5,620058.7,4850060.0,Europe
albania,2013,5772908.5,485443.34,5287465.0,Europe
albania,2014,6525141.0,525490.9,5999650.0,Europe
albania,2015,5790129.5,1077985.4,4712144.0,Europe
albania,2016,5077008.5,445029.44,4631979.0,Europe
albania,2017,6032626.5,739578.4,5293048.0,Europe
albania,2018,5305724.0,410771.03,4894953.0,Europe
albania,2019,5097567.0,270623.03,4826944.0,Europe
albania,2020,5188564.0,169643.2,5018921.0,Europe
albania,2021,5022805.5,119153.28,4903652.0,Europe
albania,2022,5058494.5,103764.48,4954730.0,Europe
algeria,1916,4353894.5,4350230.5,3664.0,Africa
algeria,1917,4350487.0,4343159.0,7328.0,Africa
algeria,1918,4354370.5,4336050.5,18320.0,Africa
algeria,1919,4347226.0,4328906.0,18320.0,Africa
algeria,1920,4400647.0,4378663.0,21984.0,Africa
algeria,1921,4467075.5,4441427.5,25648.0,Africa
algeria,1922,4536252.0,4510604.0,25648.0,Africa
algeria,1923,4598027.0,4583371.0,14656.0,Africa
algeria,1924,4686805.5,4657493.5,29312.0,Africa
algeria,1925,4764335.5,4731359.5,32976.0,Africa
algeria,1926,4843991.5,4803687.5,40304.0,Africa
algeria,1927,4932183.5,4873559.5,58624.0,Africa
algeria,1928,5013536.0,4940464.0,73072.0,Africa
algeria,1929,5084452.0,5004071.0,80381.0,Africa
algeria,1930,5190558.5,5106553.5,84005.0,Africa
algeria,1931,5282519.5,5183900.5,98619.0,Africa
algeria,1932,5362493.0,5249266.0,113227.0,Africa
algeria,1933,5427699.0,5307084.0,120615.0,Africa
algeria,1934,5498289.0,5359443.0,138846.0,Africa
algeria,1935,5539048.5,5407404.5,131644.0,Africa
algeria,1936,5502694.5,5451665.5,51029.0,Africa
algeria,1937,5562014.5,5492665.5,69349.0,Africa
algeria,1938,5563710.5,5530734.5,32976.0,Africa
algeria,1939,5727308.5,5566092.5,161216.0,Africa
algeria,1940,5939307.5,5701147.5,238160.0,Africa
algeria,1941,6086453.5,5775013.5,311440.0,Africa
algeria,1942,6327655.0,5829351.0,498304.0,Africa
algeria,1943,6343119.5,5874454.5,468665.0,Africa
algeria,1944,6412130.0,5914209.0,497921.0,Africa
algeria,1945,6565435.5,5950299.5,615136.0,Africa
algeria,1946,6745354.0,5983715.0,761639.0,Africa
algeria,1947,6758329.0,6015042.0,743287.0,Africa
algeria,1948,6846494.5,6044610.5,801884.0,Africa
algeria,1949,6980878.5,6072713.5,908165.0,Africa
algeria,1950,15901845.0,12118240.0,3783605.0,Africa
algeria,1951,20044114.0,15912935.0,4131178.8,Africa
algeria,1952,22775884.0,18886676.0,3889207.0,Africa
algeria,1953,25486828.0,21487822.0,3999006.0,Africa
algeria,1954,28303558.0,24151256.0,4152301.8,Africa
algeria,1955,31518840.0,26912262.0,4606578.0,Africa
algeria,1956,34632600.0,29637546.0,4995053.0,Africa
algeria,1957,38060068.0,32522982.0,5537086.0,Africa
algeria,1958,40612868.0,35398748.0,5214119.0,Africa
algeria,1959,43941380.0,38284364.0,5657017.0,Africa
algeria,1960,47500320.0,41349080.0,6151241.0,Africa
algeria,1961,27857856.0,21801936.0,6055920.0,Africa
algeria,1962,18344642.0,12683632.0,5661010.0,Africa
algeria,1963,13097946.0,7678791.5,5419154.0,Africa
algeria,1964,13148931.0,7505887.0,5643044.0,Africa
algeria,1965,11982124.0,5393591.0,6588533.0,Africa
algeria,1966,17480872.0,9060009.0,8420862.0,Africa
algeria,1967,12842567.0,4410980.0,8431587.0,Africa
algeria,1968,12361063.0,3310827.0,9050236.0,Africa
algeria,1969,14762711.0,3499742.8,11262968.0,Africa
algeria,1970,28485872.0,13426911.0,15058960.0,Africa
algeria,1971,34369480.0,15719952.0,18649530.0,Africa
algeria,1972,38959376.0,10636738.0,28322640.0,Africa
algeria,1973,47001456.0,8724058.0,38277400.0,Africa
algeria,1974,57952504.0,26075844.0,31876660.0,Africa
algeria,1975,61611824.0,29610616.0,32001206.0,Africa
algeria,1976,52299080.0,13168013.0,39131068.0,Africa
algeria,1977,49810336.0,7965426.0,41844910.0,Africa
algeria,1978,66621744.0,4166481.0,62455264.0,Africa
algeria,1979,49079372.0,3533818.2,45545550.0,Africa
algeria,1980,68907840.0,2491373.5,66416464.0,Africa
algeria,1981,48683316.0,2341332.8,46341984.0,Africa
algeria,1983,66074304.0,13570394.0,52503910.0,Africa
algeria,1984,77443360.0,6496821.5,70946536.0,Africa
algeria,1985,77528940.0,4919872.5,72609070.0,Africa
algeria,1986,84310870.0,8230480.0,76080390.0,Africa
algeria,1987,89670744.0,5787251.0,83883496.0,Africa
algeria,1988,89335500.0,5627464.0,83708040.0,Africa
algeria,1989,82714990.0,2906724.5,79808264.0,Africa
algeria,1990,88881040.0,12143412.0,76737624.0,Africa
algeria,1991,106268440.0,27461606.0,78806830.0,Africa
algeria,1992,93291650.0,13408335.0,79883310.0,Africa
algeria,1993,91914370.0,9970403.0,81943970.0,Africa
algeria,1994,95925440.0,7317044.5,88608390.0,Africa
algeria,1995,108142024.0,11365105.0,96776920.0,Africa
algeria,1996,108206230.0,8166799.5,100039430.0,Africa
algeria,1997,94903210.0,6533791.0,88369416.0,Africa
algeria,1998,111606000.0,5069437.0,106536560.0,Africa
algeria,1999,94670344.0,3221242.2,91449100.0,Africa
algeria,2000,90487416.0,5088819.5,85398600.0,Africa
algeria,2001,92432970.0,5593719.0,86839250.0,Africa
algeria,2002,97340310.0,6647925.0,90692380.0,Africa
algeria,2003,102615656.0,8035042.0,94580616.0,Africa
algeria,2004,97821090.0,6106862.0,91714220.0,Africa
algeria,2005,116092580.0,5100068.0,110992510.0,Africa
algeria,2006,110134510.0,4238332.0,105896180.0,Africa
algeria,2007,113696740.0,3807298.8,109889440.0,Africa
algeria,2008,115071864.0,3984453.5,111087410.0,Africa
algeria,2009,122460310.0,3603983.8,118856330.0,Africa
algeria,2010,121575090.0,3221828.5,118353256.0,Africa
algeria,2011,127818750.0,2724184.0,125094570.0,Africa
algeria,2012,138187940.0,2513650.5,135674290.0,Africa
algeria,2013,143940940.0,3154557.5,140786380.0,Africa
algeria,2014,153735980.0,2453194.5,151282780.0,Africa
algeria,2015,162137200.0,2049751.5,160087460.0,Africa
algeria,2016,160861980.0,2380354.2,158481630.0,Africa
algeria,2017,167512780.0,2423186.5,165089600.0,Africa
algeria,2018,173575500.0,2299489.8,171276020.0,Africa
algeria,2019,180632640.0,2055430.8,178577220.0,Africa
algeria,2020,171885220.0,1992446.5,169892770.0,Africa
algeria,2021,182173860.0,1948661.9,180225200.0,Africa
algeria,2022,178270300.0,1925175.6,176345140.0,Africa
andorra,1850,20518.398,20518.398,0.0,Europe
andorra,1851,17330.72,17330.72,0.0,Europe
andorra,1852,15205.6,15205.6,0.0,Europe
andorra,1853,13520.16,13520.16,0.0,Europe
andorra,1854,11321.76,11321.76,0.0,Europe
andorra,1855,9746.24,9746.24,0.0,Europe
andorra,1856,8500.4795,8500.4795,0.0,Europe
andorra,1857,7364.6396,7364.6396,0.0,Europe
andorra,1858,6375.36,6375.36,0.0,Europe
andorra,1859,5715.84,5715.84,0.0,Europe
andorra,1860,5276.16,5276.16,0.0,Europe
andorra,1861,4836.48,4836.48,0.0,Europe
andorra,1862,4506.72,4506.72,0.0,Europe
andorra,1863,3920.48,3920.48,0.0,Europe
andorra,1864,3151.0398,3151.0398,0.0,Europe
andorra,1865,3151.0398,3151.0398,0.0,Europe
andorra,1866,2491.52,2491.52,0.0,Europe
andorra,1867,2967.84,2967.84,0.0,Europe
andorra,1868,2674.7202,2674.7202,0.0,Europe
andorra,1869,2491.52,2491.52,0.0,Europe
andorra,1870,1978.5599,1978.5599,0.0,Europe
andorra,1871,2308.32,2308.32,0.0,Europe
andorra,1872,2491.52,2491.52,0.0,Europe
andorra,1873,2748.0,2748.0,0.0,Europe
andorra,1874,2271.68,2271.68,0.0,Europe
andorra,1875,2088.48,2088.48,0.0,Europe
andorra,1876,2088.48,2088.48,0.0,Europe
andorra,1877,1905.28,1905.28,0.0,Europe
andorra,1878,1941.92,1941.92,0.0,Europe
andorra,1879,1978.5599,1978.5599,0.0,Europe
andorra,1880,1905.28,1905.28,0.0,Europe
andorra,1881,1868.6399,1868.6399,0.0,Europe
andorra,1882,1722.08,1722.08,0.0,Europe
andorra,1883,1392.3201,1392.3201,0.0,Europe
andorra,1884,879.36,879.36,0.0,Europe
andorra,1885,989.27997,989.27997,0.0,Europe
andorra,1886,366.4,366.4,0.0,Europe
andorra,1887,916.00006,916.00006,0.0,Europe
andorra,1888,769.44,769.44,0.0,Europe
andorra,1889,586.24,586.24,0.0,Europe
andorra,1890,0.0,0.0,0.0,Europe
andorra,1945,6045.6,6045.6,0.0,Europe
andorra,1946,11101.92,11101.92,0.0,Europe
andorra,1947,16341.439,16341.439,0.0,Europe
andorra,1948,21617.602,21617.602,0.0,Europe
andorra,1949,27956.32,27956.32,0.0,Europe
andorra,1950,65402.402,65402.402,0.0,Europe
andorra,1951,41623.04,41623.04,0.0,Europe
andorra,1952,58807.2,58807.2,0.0,Europe
andorra,1953,45067.2,45067.2,0.0,Europe
andorra,1954,42612.32,42612.32,0.0,Europe
andorra,1955,62874.242,62874.242,0.0,Europe
andorra,1956,53421.12,53421.12,0.0,Europe
andorra,1957,181331.36,181331.36,0.0,Europe
andorra,1958,103471.36,103471.36,0.0,Europe
andorra,1959,72803.68,72803.68,0.0,Europe
andorra,1960,55729.44,55729.44,0.0,Europe
andorra,1961,67820.64,67820.64,0.0,Europe
andorra,1962,52505.117,52505.117,0.0,Europe
andorra,1963,44371.04,44371.04,0.0,Europe
andorra,1964,39388.0,39388.0,0.0,Europe
andorra,1965,34478.242,34478.242,0.0,Europe
andorra,1966,31583.682,31583.682,0.0,Europe
andorra,1967,27186.88,27186.88,0.0,Europe
andorra,1968,28469.28,28469.28,0.0,Europe
andorra,1969,23816.0,23816.0,0.0,Europe
andorra,1970,19712.32,19712.32,0.0,Europe
andorra,1971,17660.48,17660.48,0.0,Europe
andorra,1972,13996.4795,13996.4795,0.0,Europe
andorra,1973,14802.561,14802.561,0.0,Europe
andorra,1974,14252.96,14252.96,0.0,Europe
andorra,1975,8353.92,8353.92,0.0,Europe
andorra,1976,10698.881,10698.881,0.0,Europe
andorra,1977,10479.04,10479.04,0.0,Europe
andorra,1978,8134.0796,8134.0796,0.0,Europe
andorra,1979,7694.4,7694.4,0.0,Europe
andorra,1980,8903.5205,8903.5205,0.0,Europe
andorra,1981,10479.04,10479.04,0.0,Europe
andorra,1982,10039.359,10039.359,0.0,Europe
andorra,1983,11504.96,11504.96,0.0,Europe
andorra,1984,12347.681,12347.681,0.0,Europe
andorra,1985,12787.36,12787.36,0.0,Europe
andorra,1986,15022.4,15022.4,0.0,Europe
andorra,1987,11101.92,11101.92,0.0,Europe
andorra,1988,10259.199,10259.199,0.0,Europe
andorra,1989,13043.841,13043.841,0.0,Europe
andorra,1990,420517.28,13813.28,406704.0,Europe
andorra,1991,418648.62,11944.64,406704.0,Europe
andorra,1992,451514.72,44810.723,406704.0,Europe
andorra,1993,467563.03,57195.04,410368.0,Europe
andorra,1994,461187.7,54483.68,406704.0,Europe
andorra,1995,473205.6,48181.6,425024.0,Europe
andorra,1996,490572.97,36236.96,454336.0,Europe
andorra,1997,500978.72,35650.72,465328.0,Europe
andorra,1998,521716.97,30740.96,490976.0,Europe
andorra,1999,540989.6,28029.6,512960.03,Europe
andorra,2000,549709.94,25757.92,523952.0,Europe
andorra,2001,546302.4,22350.4,523952.0,Europe
andorra,2002,551285.44,20005.441,531280.0,Europe
andorra,2003,553007.5,18063.52,534944.0,Europe
andorra,2004,573379.4,12787.36,560592.0,Europe
andorra,2005,587595.7,12347.681,575248.0,Europe
andorra,2006,552934.25,6998.2397,545936.0,Europe
andorra,2007,543994.06,5386.08,538608.0,Europe
andorra,2008,542418.56,3810.56,538608.0,Europe
andorra,2009,517246.84,622.88,516623.97,Europe
andorra,2010,517649.88,1025.92,516623.97,Europe
angola,1950,244545940.0,244359070.0,186864.0,Africa
angola,1951,234496510.0,234247360.0,249152.0,Africa
angola,1952,227470290.0,227158850.0,311440.0,Africa
angola,1953,225823200.0,225548510.0,274681.0,Africa
angola,1954,222257090.0,221909180.0,347904.0,Africa
angola,1955,221312620.0,220898900.0,413735.0,Africa
angola,1956,217258000.0,216756380.0,501611.0,Africa
angola,1957,211907500.0,211288820.0,618681.0,Africa
angola,1958,211458240.0,210865360.0,592885.0,Africa
angola,1959,210042640.0,209424050.0,618592.0,Africa
angola,1960,214567500.0,214018560.0,548951.0,Africa
angola,1961,142756290.0,142302580.0,453707.0,Africa
angola,1962,110391940.0,109212810.0,1179127.0,Africa
angola,1963,96279910.0,95130190.0,1149723.0,Africa
angola,1964,80895096.0,79672184.0,1222914.0,Africa
angola,1965,68746460.0,67560310.0,1186155.0,Africa
angola,1966,62066216.0,60513748.0,1552466.0,Africa
angola,1967,55671190.0,54679376.0,991815.0,Africa
angola,1968,56694500.0,55024960.0,1669539.0,Africa
angola,1969,49830464.0,47047372.0,2783093.0,Africa
angola,1970,45955560.0,42377644.0,3577917.0,Africa
angola,1971,41734050.0,38328664.0,3405383.0,Africa
angola,1972,39215320.0,34714788.0,4500532.0,Africa
angola,1973,38806150.0,33932490.0,4873664.0,Africa
angola,1974,37776410.0,32910010.0,4866398.0,Africa
angola,1975,35110270.0,30701462.0,4408811.0,Africa
angola,1976,31655744.0,28375702.0,3280042.0,Africa
angola,1977,34907544.0,31380034.0,3527511.0,Africa
angola,1978,35493120.0,30093310.0,5399808.0,Africa
angola,1979,32854836.0,27365646.0,5489191.0,Africa
angola,1980,36889490.0,31555138.0,5334352.0,Africa
angola,1981,33804310.0,28537540.0,5266774.0,Africa
angola,1982,30409660.0,25774482.0,4635179.0,Africa
angola,1983,29899292.0,24798758.0,5100535.0,Africa
angola,1984,27751452.0,22765604.0,4985847.0,Africa
angola,1985,28678024.0,24001910.0,4676114.0,Africa
angola,1986,24854832.0,20220992.0,4633840.0,Africa
angola,1987,25118320.0,19332290.0,5786029.0,Africa
angola,1988,26305782.0,21256476.0,5049306.0,Africa
angola,1989,26209600.0,21286850.0,4922750.0,Africa
angola,1990,30223622.0,25133758.0,5089864.0,Africa
angola,1991,31521506.0,26457452.0,5064054.0,Africa
angola,1992,29907332.0,24742882.0,5164449.0,Africa
angola,1993,26724020.0,20975630.0,5748389.0,Africa
angola,1994,34830840.0,23477592.0,11353248.0,Africa
angola,1995,36605150.0,23988502.0,12616650.0,Africa
angola,1996,39687212.0,24438256.0,15248957.0,Africa
angola,1997,43746916.0,27862668.0,15884249.0,Africa
angola,1998,39770644.0,23257350.0,16513294.0,Africa
angola,1999,39406348.0,22145070.0,17261278.0,Africa
angola,2000,44564230.0,28569124.0,15995108.0,Africa
angola,2001,62340424.0,46431964.0,15908461.0,Africa
angola,2002,72381280.0,56301280.0,16080002.0,Africa
angola,2003,68196130.0,50711704.0,17484428.0,Africa
angola,2004,63657164.0,46641476.0,17015688.0,Africa
angola,2005,62899044.0,47512224.0,15386819.0,Africa
angola,2006,66711390.0,49566556.0,17144838.0,Africa
angola,2007,108547220.0,90959280.0,17587936.0,Africa
angola,2008,154979950.0,136229800.0,18750156.0,Africa
angola,2009,163080580.0,142412240.0,20668332.0,Africa
angola,2010,179488420.0,156505090.0,22983320.0,Africa
angola,2011,145933760.0,122536740.0,23397032.0,Africa
angola,2012,133713460.0,107772500.0,25940960.0,Africa
angola,2013,118532750.0,92823010.0,25709742.0,Africa
angola,2014,104350140.0,79582420.0,24767724.0,Africa
angola,2015,111998690.0,85968330.0,26030358.0,Africa
angola,2016,101280536.0,77287830.0,23992706.0,Africa
angola,2017,99461010.0,76843976.0,22617028.0,Africa
angola,2018,80356420.0,58921956.0,21434458.0,Africa
angola,2019,68065970.0,48843796.0,19222174.0,Africa
angola,2020,60412296.0,43647508.0,16764786.0,Africa
angola,2021,59276010.0,41770296.0,17505714.0,Africa
angola,2022,53262836.0,37192570.0,16070269.0,Africa
antigua and barbuda,1962,260070.72,157478.72,102592.0,North America
antigua and barbuda,1964,402050.72,310450.72,91600.0,North America
antigua and barbuda,1965,234935.69,84711.68,150224.0,North America
antigua and barbuda,1968,1166068.0,176788.0,989280.0,North America
antigua and barbuda,1969,1295407.2,38655.2,1256752.0,North America
antigua and barbuda,1970,463239.53,1575.5199,461664.0,North America
antigua and barbuda,1983,132123.84,47851.84,84272.0,North America
antigua and barbuda,1984,336391.84,189831.84,146560.0,North America
antigua and barbuda,1985,284179.84,35027.84,249152.0,North America
antigua and barbuda,2013,560628.6,3700.6401,556928.0,North America
antigua and barbuda,2017,610275.8,5715.84,604560.0,North America
argentina,1887,22199224.0,21114680.0,1084544.0,South America
argentina,1888,22004776.0,21114424.0,890352.0,South America
argentina,1889,23099724.0,21344668.0,1755056.0,South America
argentina,1890,24515750.0,23145414.0,1370336.0,South America
argentina,1891,25551674.0,24613690.0,937984.0,South America
argentina,1892,26968248.0,25583256.0,1384992.0,South America
argentina,1893,28047884.0,26494348.0,1553536.0,South America
argentina,1894,29486444.0,27493228.0,1993216.0,South America
argentina,1895,30133030.0,27868678.0,2264352.0,South America
argentina,1896,30760050.0,28455394.0,2304656.0,South America
argentina,1897,30788996.0,28707844.0,2081152.0,South America
argentina,1898,31766402.0,29417778.0,2348624.0,South America
argentina,1899,32548630.0,29628422.0,2920208.0,South America
argentina,1900,63657784.0,61587624.0,2070159.9,South America
argentina,1901,83883140.0,81391620.0,2491520.0,South America
argentina,1902,96251816.0,93437864.0,2813952.0,South America
argentina,1903,105026440.0,102164856.0,2861584.0,South America
argentina,1904,112494950.0,108699050.0,3795904.0,South America
argentina,1905,117574650.0,113591880.0,3982768.0,South America
argentina,1906,122367704.0,116113256.0,6254448.0,South America
argentina,1907,126956860.0,120702420.0,6254448.0,South America
argentina,1908,131655760.0,124038300.0,7617456.0,South America
argentina,1909,130984080.0,125048400.0,5935680.0,South America
argentina,1910,146913710.0,138006530.0,8907184.0,South America
argentina,1911,155007940.0,145063840.0,9944096.0,South America
argentina,1912,159732080.0,150253310.0,9478768.0,South America
argentina,1913,165758080.0,155612460.0,10145616.0,South America
argentina,1914,165511710.0,156839020.0,8672688.0,South America
argentina,1915,168724220.0,161784600.0,6939616.0,South America
argentina,1916,166502020.0,161515310.0,4986704.0,South America
argentina,1917,167723550.0,165492180.0,2231376.0,South America
argentina,1918,168677620.0,166156780.0,2520832.0,South America
argentina,1919,172381200.0,168654910.0,3726288.0,South America
argentina,1920,193543540.0,187651820.0,5891712.0,South America
argentina,1921,207997980.0,202458020.0,5539968.0,South America
argentina,1922,216667120.0,209368430.0,7298688.0,South America
argentina,1923,222858480.0,214412960.0,8445520.0,South America
argentina,1924,229861380.0,218902350.0,10959024.0,South America
argentina,1925,234257010.0,223019520.0,11237488.0,South America
argentina,1926,235430350.0,224170880.0,11259472.0,South America
argentina,1927,240378450.0,227004850.0,13373600.0,South America
argentina,1928,241696940.0,228958160.0,12738777.0,South America
argentina,1929,242878320.0,229747970.0,13130350.0,South America
argentina,1930,194677730.0,181910240.0,12767495.0,South America
argentina,1931,163215020.0,150371220.0,12843815.0,South America
argentina,1932,145940480.0,132840040.0,13100443.0,South America
argentina,1933,134143860.0,120911570.0,13232287.0,South America
argentina,1934,126605910.0,112366230.0,14239680.0,South America
argentina,1935,119506840.0,105509610.0,13997231.0,South America
argentina,1936,115143040.0,100047060.0,15095986.0,South America
argentina,1937,112259816.0,95548840.0,16710979.0,South America
argentina,1938,108843700.0,92496290.0,16347408.0,South America
argentina,1939,106510900.0,89133430.0,17377468.0,South America
argentina,1940,78522920.0,62658504.0,15864415.0,South America
argentina,1941,60431856.0,46491396.0,13940459.0,South America
argentina,1942,48191956.0,34712776.0,13479180.0,South America
argentina,1943,39505270.0,25428380.0,14076890.0,South America
